Interest Rate,,,,(Unit : %)
Date,1Y,10Y,30Y,40Y
5/23/25,0.557,1.559,2.925,3.249
5/26/25,0.554,1.522,2.9,3.24
5/27/25,0.566,1.479,2.743,3.062
5/28/25,0.575,1.531,2.796,3.107
5/29/25,0.587,1.532,2.853,3.125
5/30/25,0.599,1.518,2.846,3.108
6/2/25,0.592,1.523,2.821,3.085
6/3/25,0.583,1.499,2.825,3.102
6/4/25,0.575,1.518,2.833,3.137
6/5/25,0.567,1.481,2.787,3.081
6/6/25,0.569,1.477,2.78,3.053
6/9/25,0.574,1.491,2.805,3.088
6/10/25,0.573,1.498,2.809,3.091
6/11/25,0.564,1.48,2.808,3.101
6/12/25,0.565,1.48,2.804,3.089
6/13/25,0.553,1.429,2.781,3.066
6/16/25,0.576,1.477,2.799,3.07
6/17/25,0.578,1.498,2.823,3.094
6/18/25,0.563,1.479,2.819,3.097
6/19/25,0.544,1.439,2.808,3.09
6/20/25,0.544,1.424,2.798,3.102
6/23/25,0.554,1.437,2.808,3.129
6/24/25,0.554,1.445,2.811,3.125
6/25/25,0.548,1.426,2.796,3.109
6/26/25,0.557,1.445,2.792,3.102
6/27/25,0.568,1.459,2.8,3.094
6/30/25,0.581,1.462,2.803,3.093
7/1/25,0.581,1.419,2.789,3.082
7/2/25,0.582,1.434,2.785,3.074
7/3/25,0.592,1.448,2.844,3.13
7/4/25,0.583,1.444,2.852,3.129
7/7/25,0.575,1.463,2.932,3.218
7/8/25,0.576,1.492,3.007,3.31
7/9/25,0.587,1.507,3.003,3.297
7/10/25,0.587,1.498,3.008,3.301
7/11/25,0.591,1.507,2.992,3.278
7/14/25,0.614,1.574,3.083,3.403
7/15/25,0.615,1.588,3.087,3.398
7/16/25,0.616,1.575,3.011,3.32
7/17/25,0.618,1.561,3.029,3.317
7/18/25,0.608,1.528,3.014,3.302
7/22/25,0.596,1.51,3.022,3.319
7/23/25,0.654,1.596,3.062,3.379
7/24/25,0.665,1.605,3.034,3.338
7/25/25,0.684,1.605,3.006,3.301
7/28/25,0.678,1.571,2.975,3.267
7/29/25,0.669,1.564,2.999,3.28
7/30/25,0.66,1.565,3.019,3.3
7/31/25,0.662,1.559,3.026,3.308
8/1/25,0.661,1.56,3.037,3.311
8/4/25,0.623,1.52,3.046,3.329
8/5/25,0.615,1.487,3.019,3.308
8/6/25,0.626,1.509,3.015,3.288
8/7/25,0.625,1.5,3.006,3.265
8/8/25,0.627,1.502,3.014,3.251
8/12/25,0.632,1.516,3.029,3.262
8/13/25,0.636,1.53,3.025,3.255
8/14/25,0.647,1.563,3.024,3.255
8/15/25,0.653,1.574,3.032,3.277
8/18/25,0.662,1.584,3.049,3.308
8/19/25,0.674,1.603,3.068,3.323
8/20/25,0.68,1.617,3.095,3.356
8/21/25,0.678,1.617,3.098,3.359
8/22/25,0.68,1.626,3.12,3.368
8/25/25,0.691,1.628,3.119,3.369
8/26/25,0.704,1.631,3.11,3.351
8/27/25,0.706,1.637,3.134,3.369
8/28/25,0.701,1.628,3.122,3.365
8/29/25,0.712,1.613,3.096,3.348
9/1/25,0.722,1.633,3.102,3.357
9/2/25,0.713,1.615,3.111,3.373
9/3/25,0.704,1.643,3.17,3.43
9/4/25,0.695,1.617,3.158,3.417
9/5/25,0.686,1.59,3.128,3.388
9/8/25,0.678,1.586,3.167,3.442
9/9/25,0.679,1.58,3.147,3.426
9/10/25,0.691,1.585,3.123,3.398
9/11/25,0.695,1.594,3.115,3.381
9/12/25,0.696,1.613,3.103,3.351
9/16/25,0.711,1.623,3.132,3.384
9/17/25,0.707,1.611,3.108,3.371
9/18/25,0.719,1.615,3.093,3.363
9/19/25,0.747,1.655,3.072,3.32
9/22/25,0.763,1.669,3.094,3.341
9/24/25,0.76,1.655,3.074,3.327
9/25/25,0.769,1.659,3.054,3.293
9/26/25,0.771,1.669,3.084,3.341
9/29/25,0.778,1.657,3.05,3.303
9/30/25,0.8,1.662,3.067,3.314
10/1/25,0.792,1.663,3.074,3.335
10/2/25,0.784,1.675,3.087,3.353
10/3/25,0.775,1.667,3.072,3.329
10/6/25,0.73,1.677,3.175,3.439
10/7/25,0.742,1.682,3.177,3.429
10/8/25,0.764,1.701,3.164,3.404
10/9/25,0.755,1.697,3.18,3.398
10/10/25,0.747,1.697,3.187,3.385
10/14/25,0.723,1.67,3.218,3.417
10/15/25,0.724,1.662,3.175,3.367
10/16/25,0.73,1.663,3.134,3.34
10/17/25,0.722,1.638,3.134,3.357
10/20/25,0.754,1.676,3.129,3.352
10/21/25,0.746,1.667,3.138,3.362
10/22/25,0.748,1.663,3.13,3.358
10/23/25,0.747,1.667,3.101,3.335
10/24/25,0.75,1.667,3.081,3.329
10/27/25,0.757,1.683,3.097,3.352
10/28/25,0.751,1.654,3.083,3.327
10/29/25,0.762,1.664,3.072,3.31
10/30/25,0.755,1.66,3.063,3.297
10/31/25,0.748,1.67,3.068,3.304
11/4/25,0.745,1.684,3.105,3.34
11/5/25,0.726,1.676,3.101,3.34
11/6/25,0.737,1.694,3.105,3.35
11/7/25,0.736,1.688,3.117,3.358
11/10/25,0.739,1.712,3.141,3.391
11/11/25,0.733,1.704,3.177,3.424
11/12/25,0.734,1.7,3.189,3.436
11/13/25,0.734,1.705,3.188,3.437
11/14/25,0.735,1.714,3.205,3.449
11/17/25,0.738,1.745,3.241,3.493
11/18/25,0.739,1.759,3.285,3.543
11/19/25,0.75,1.779,3.308,3.572
11/20/25,0.768,1.824,3.334,3.601
11/21/25,0.769,1.792,3.291,3.551
11/25/25,0.792,1.811,3.302,3.561
11/26/25,0.793,1.825,3.294,3.552
11/27/25,0.786,1.807,3.297,3.557
11/28/25,0.796,1.812,3.3,3.558
12/1/25,0.811,1.881,3.343,3.592
12/2/25,0.792,1.864,3.331,3.556
12/3/25,0.794,1.897,3.367,3.592
12/4/25,0.795,1.939,3.343,3.559
12/5/25,0.817,1.951,3.315,3.529
12/8/25,0.813,1.966,3.338,3.541
12/9/25,0.815,1.962,3.334,3.552
12/10/25,0.816,1.958,3.346,3.568
12/11/25,0.815,1.933,3.334,3.559
12/12/25,0.827,1.956,3.309,3.532
12/15/25,0.831,1.961,3.32,3.549
12/16/25,0.828,1.957,3.307,3.528
12/17/25,0.845,1.98,3.311,3.52
12/18/25,0.841,1.972,3.33,3.536
12/19/25,0.863,2.021,3.362,3.561
12/22/25,0.873,2.073,3.374,3.562
12/23/25,0.858,2.039,3.371,3.552
12/24/25,0.859,2.044,3.371,3.546
12/25/25,0.878,2.042,3.349,3.489
12/26/25,0.88,2.039,3.335,3.467
12/29/25,0.886,2.052,3.371,3.517
12/30/25,0.906,2.066,3.354,3.475
